,News,Label
442,CORRECTED-UPDATE 3-Apple closes New York City stores to shoppers as COVID-19 cases rise,1
301,India celebrates 1 billion COVID-19 vaccine doses with song and dance,0
28,Britain and India to formally launch trade talks,0
497,Exxon eyes more long-term gas supply deals with India,0
72,"India reports 45,352 new COVID-19 infections",0
1722,Apple in talks to launch money-transfer service - Recode,1
1508,Apple's security chief accused of bribery in California gun-permit probe,1
785,Twitter avoids revenue hit from Apple privacy changes,1
1759,Apple to charge banks in new payment system: Bloomberg,1
891,India plans refiners' joint oil deals to cut import bill,0
1680,Apple launches iPhone voice control for drivers,1
802,UPDATE 1-India announces first formal meeting with Taliban,0
1743,Stern Advice: Apple is bigger than my brain,1
544,India approves investments worth $1.79 billion from its neighbours,0
847,"White House to tackle cyber challenges with Apple, IBM, insurance CEOs",1
460,UPDATE 4-Apple likely to cut iPhone 13 production due to chip crunch -Bloomberg News,1
239,India's top carmaker sees hydrogen as 'interesting alternative',0
1456,"Ahead of hearing, Einhorn reiterates case against Apple",1
9,"India reports 30,773 coronavirus cases",0
1421,Apple could block apps that don't comply with new privacy feature,1
148,UK aims to start trade talks with India this year,0
1187,BRIEF-Apple Inc Says Apple Watch Is Unaffected By Both Meltdown And Spectre‍,1
952,Crowds gather for hearing of two Apple Daily executives on national security charge,1
1495,Amazon to allow Apple Music on its Echo speakers,1
20,India's gender inequity in vaccinations narrows,0
1865,Court picks terms in Apple/Samsung patent case,1
379,UPDATE 1-Dutch consumer watchdog gives Apple fifth $5.7 mln fine in App Store dispute,1
1805,Apple says will not release watchOS 2 on Wednesday,1
1631,Apple cancels production boost for iPhone XR: Nikkei,1
1478,UPDATE 5-Facebook benefits from pandemic ad spending but Apple could spoil its party,1
1574,Apple revenue to shrink but options traders unfazed,1
1043,India's Future discloses new documents to bolster case against Amazon deal,0
1599,U.S. court revives Apple claim on Samsung tablets,1
383,India PM Modi says economy getting boost from rising vaccinations,0
525,"Apple adds virtual IDs on iPhone, video plans that rival Zoom, Teams",1
200,"India's new COVID-19 cases rise by 45,083",0
957,Resumption of India's COVAX vaccine supply delayed by Nepal - sources,0
205,Reactions to India's decision to repeal farm laws,0
815,"Barclays bets on India again with $400 million infusion for banking, wealth businesses",0
1355,"Apple and Buffett saw value, and acted",1
1240,"Apple to offer Apple Pay in UK in July, backed by banks, retailers",1
1676,"Kodak sues Apple, claiming interference in patent sales",1
509,"EXCLUSIVE-Policy groups ask Apple to drop plans to inspect iMessages, scan for abuse images",1
691,Apple to start enforcing new app privacy notifications in coming weeks,1
362,Apple bars Epic's 'Fortnite' from App Store until all court appeals end,1
1854,"Softbank, KDDI to offer Apple's iPad mini in Japan",1
1255,Apple to start charging for iTunes Radio,1
1657,"In FBI vs. Apple, judge asks for technological details",1
1609,Apple to buy Beats for about $3 bln,1
868,UPDATE 1-Apple argues it faces competition in video game market as 'Fortnite' trial nears,1
1017,India's Future says will act to reverse store takeovers by Reliance,0
652,India stops buying sunoil as Ukraine conflict maroons shipments -dealers,0
271,Dutch watchdog fines Apple again in App Store dispute,1
864,"UPDATE 2-India sees impact of Omicron blunted by vaccination, prior infections",0
273,Apple to require employee proof of COVID-19 booster -The Verge,1
919,India defers plans to hike tax rates on textiles - finance minister,0
4,Factbox-India and Pakistan's nuclear arsenals,0
960,Criticism of Apple Daily raid is attempt to 'beautify' security threats-HK leader,1
57,"India reports 28,591 new COVID-19 infections",0
672,India asks Indonesia to raise palm oil supply as prices spike - sources,0
352,Apple starts legal action against Russian regulator in App Store dispute -RIA,1
144,"Move over Apple, Microsoft now the world's most valuable company",1
1028,"Twitter reinstates accounts of India's Rahul Gandhi, other opposition leaders",0
775,India's tax revenues likely to beat forecast on strong recovery -officials,0
425,India's antitrust body orders probe into Apple over alleged abuse of app market,1
725,India reports smallest rise in COVID-19 deaths since mid-March,0
1301,"Apple and Buffett saw value, and acted",1
840,India reports first death linked to Omicron coronavirus variant,0
353,"Analysis-Apple's App Store concessions fail to address top concerns of regulators, lawmakers",1
500,India's October crude imports stay elevated as consumption rebounds,0
962,"EMERGING MARKETS-Shares set for biggest weekly drop in six; Apple, Amazon suppliers slip",1
807,USTR says moving to terminate India trade retaliation after tax agreement,0
331,U.S. SEC rejects Apple bid to block shareholder proposal on forced labour -letter,1
870,Late monsoon floods kill more than 150 in India and Nepal,0
1153,Former Apple CEO John Sculley's Zeta Global files for U.S. IPO,1
1419,"Apple, Hyundai set to agree electric car tie-up, says Korea IT News",1
852,Russia says India approves one-shot Sputnik Light COVID vaccine,0
330,"Analysis: Apple's App Store concessions fail to address top concerns of regulators, lawmakers",1
66,India announces first formal meeting with Taliban,0
41,"Viewsroom: A $3 trln Apple, Theranos boss busted",1
480,Coal India ramps up supplies to address shortage at utilities,0
536,TSMC reports gas contamination at key chip plant which supplies Apple - Nikkei,1
222,ISS urges Apple shareholders to vote against CEO Cook's bonus,1
294,Apple says photos in iCloud will be checked by child abuse detection system,1
220,U.S. judge denies Apple's request to pause antitrust orders in 'Fortnite' case,1
1335,"Insight: Apple and Samsung, frenemies for life",1
1373,Apple reports progress in workforce diversity,1
224,"Apple asks customers, employees to wear masks at U.S. retail stores",1
1111,Apple to open first Apple Store in Taiwan,1
1041,"Coinbase to allow users to use card via Apple, Google wallets",1
153,Apple given fourth Dutch fine in App Store dispute,1
754,Facebook warns it is 'underreporting' iOS ad results amid Apple privacy changes,1
1302,Apple lowers quarterly revenue forecast,1
1319,"CORRECTED-Apple, ANZ Bank strike deal to bring Apple Pay to Australia",1
653,Pilot error likely caused fatal Air India Express crash - report,0
1969,"Einhorn says Apple has ""Depression mentality"": CNBC",1
1017,UK court blocks Epic Games from contesting Apple's Fortnite ban,1
64,"Apple's App Store broke competition laws, Dutch watchdog says",1
357,"UK foreign minister to discuss security, defence ties with India",0
658,India's June WPI inflation eases to 12.07%: government,0
1621,Enraged shoppers pelt Beijing Apple store with eggs,1
675,Apple creates fund for 'working forests' as part of carbon-removal efforts,1
1958,Nokia sues Apple for infringing technology patents,1
1895,Apple set for slowest ever iPhone sales growth,1
1420,Hyundai says in early talks with Apple after electric vehicle tie-up report,1
176,India's Reliance plans to turn syngas into blue hydrogen,0
364,Apple's 'hands-off' approach with Roblox draws focus in DOJ antitrust probe - The Information,1
1853,Jury reaches verdict in Apple-Samsung patents trial,1
1964,Ireland welcomes annulling of EU Apple tax order,1
1030,At least three killed in rail accident in India's West Bengal state,0
664,CORRECTED-BP's venture capital arm looks to India in clean mobility drive,0
952,India must work towards sustainable growth in post-pandemic era - Das,0
876,French startup lobby to file privacy complaint against Apple,1
276,Ericsson sues Apple again over 5G patent licensing,1
567,European consumer group joins EU antitrust case against Apple,1
859,India's Russian coal imports could be highest in over two years in March,0
1847,Apple launches new legal attack on Samsung phones,1
225,India's top carmaker sees hydrogen as 'interesting alternative',0
1194,"Wall Street expects near-record iPhone sales despite delay, shut Apple stores",1
997,Trump administration subpoenaed Apple for lawmakers' data -New York Times,1
102,Crypto is next fintech battle for India's Gen Z,0
391,"Apple warns Thai activists ""state-sponsored attackers"" may have targeted iPhones",1
1941,Apple options volume soars on Icahn investment,1
203,"Apple must ease App Store rules, U.S. judge orders",1
540,India seeks to move coal to areas of shortage as power demand rises,0
1903,Apple rejects iPhone price-fixing allegations in Russia,1
618,India plans refiners' joint oil deals to cut import bill,0
531,Reliance joins calls for India to tighten marketplace rules -sources,0
841,UPDATE 1-Qatar Energy says it is committed to being trusted supplier to India,0
579,Electrolyser supply crunch hangs over India's hydrogen ambitions,0
487,U.S. lawmakers say decision in Apple/Epic fight shows need to update laws,1
871,India's tax revenues likely to beat forecast on strong recovery -officials,0
988,"India, China trade blame for break down in border talks",0
1951,Apple deepens enterprise push with Deloitte partnership,1
827,Poshmark warns of marketing hit from Apple's ad tracking changes,1
413,American Airlines bets on non-stop travel demand as it relaunches India flights,0
307,Lawsuit claims Apple monopolizes heart-rate technology for Apple Watch,1
359,"India's monsoon gathers pace in September, set for delayed retreat",0
37,India formalises acquisition of 56 Airbus C295 aircraft,0
706,S.Korea targets Apple over new app store regulation,1
706,"India's COVID vaccine supply jumps, raising export hopes",0
1273,Apple's war with Google heats up,1
149,"Review of India's Covaxin shot underway, WHO says",0
373,"India considers resuming vaccine exports soon, focus on Africa, says source",0
1628,Apple to buy digital magazine service Texture,1
683,"India reports 27,254 new COVID-19 cases, 219 deaths",0
88,"Apple shareholders approve CEO Cook's annual compensation, civil rights proposal",1
440,"India's COVID-19 cases multiply, vulnerable groups given vaccine boosters",0
1042,Solid demand lifted India Oct factory growth to eight-month high,0
598,"Cricket-India must improve through the middle overs, says Dravid",0
165,"Apple poised for strong earnings despite supply constraints, Omicron",1
936,QUOTES-What people are saying about closure of Hong Kong's Apple Daily,1
977,India's engineering colleges equip students for future beyond coal,0
1015,Trump administration subpoenaed Apple for lawmakers' data -New York Times,1
1686,RPT-Apple shareholders to meet as stock at record high,1
1784,Apple may be considering stock split: Bernstein,1
1276,Apple starts applying new data privacy labels to apps,1
323,India's Jan trade deficit touches $17.94 billion - trade ministry,0
1972,"Apple's dimming luster roils suppliers, investors",1
977,Ex-Michigan State guard Keith Appling denied bail in murder case,1
539,"India says Omicron may be less severe due to vaccination, prior infections",0
733,India tightens curbs in Kashmir a day after separatist leader's burial,0
1184,"Apple tops Wall Street expectations on record iPhone revenue, China sales surge",1
775,"Google, Apple remove Navalny app from stores as Russian elections begin",1
101,Oracle partners with India's Airtel in boost for cloud business,0
298,German competition watchdog launches Apple investigation,1
732,"As it diversifies, Qualcomm can keep growing without Apple, analysts say",1
268,UBS says it remains committed to India as advisory services move,0
835,India cuts growth estimates for 2021/22 amid surging COVID cases,0
1794,Apple Pay to go live in China on Feb 18,1
596,REFILE-Apple plans to expand ads business - FT,1
1270,EU says Apple tax ruling not political and based on Apple data,1
460,Japan's Kishida and India's Modi discuss response to Ukraine crisis,0
810,UPDATE 3-Twitter avoids revenue hit from Apple privacy changes,1
1046,India's Bharat Biotech scouts international COVID-19 vaccine partners,0
1035,"U.S. senator slams Apple, Amazon, Nike, for enabling forced labor in China",1
221,UPDATE 2-Amazon and Apple handed $225 mln in Italian antitrust fines,1
736,BP-Reliance JV starts selling multiple fuels in India,0
321,India's September preliminary trade deficit at $22.94 billion - govt,0
1417,Apple probes supplier after workers at Wistron plant in India rampage,1
902,India's daily COVID-19 cases near five-month low,0
1588,Apple invites journalists to Sept. 9 event,1
624,India's Serum Institute applies for full approval of Covishield vaccine,0
1147,S.Korea carmaker Kia's shares jump 14.5% on Apple EV tie-up report,1
1629,Proxy proposal on Apple directors defeated at meeting,1
247,Apple to take more time to roll out child safety features,1
34,Polish regulator to investigate Apple's privacy policy,1
1974,UPDATE 6-Apple muscles into streaming music market,1
255,"Apple offers small concession in easing App Store rules for Netflix, others",1
1257,Cook says Apple in talks with Alibaba over Apple Pay in China - Xinhua,1
1378,"The desktop gets a makeover, courtesy of Apple",1
1179,"Google to stop using Apple tool to track iPhone users, avoiding new pop-up warning",1
926,India's Life Insurance Corp files $8 billion IPO papers,0
16,Apple inches closer to $3 trillion market cap,1
841,"UPDATE 12-Apple packs iPad Pros with faster chips, slims iMacs and jumps into tracking tags",1
14,Apple likely to face DOJ antitrust suit- The Information,1
1534,"EXCLUSIVE-Apple targets car production by 2024 and eyes ""next level"" battery technology - sources",1
140,India's Reliance plans to turn syngas into blue hydrogen,0
1211,BRIEF-Apple unveils the iPad Mini,1
15,"India reports 42,766 coronavirus cases",0
698,Apple to build battery-based solar energy storage project in California,1
1269,Apple updates iMac with Intel processors,1
338,"UPDATE 5-Apple plans 'buy now, pay later' service - Bloomberg",1
1544,Apple continues to defy gravity as stock hits $600,1
341,Apple likely to cut iPhone 13 production due to chip crunch -Bloomberg News,1
797,UPDATE 1-India's Serum Institute applies for full approval of Covishield vaccine,0
400,"CORRECTED-Apple adds suppliers to clean-energy pledge, including more chip firms",1
310,German competition watchdog launches Apple investigation,1
105,India to focus on fiscal consolidation and capital spending - adviser,0
12,India's Omicron cases jump to 101,0
823,BP-Reliance JV starts selling multiple fuels in India,0
734,Japan's Osaka Gas plans to enter India's city market,0
516,EXCLUSIVE-Apple's child protection features spark concern within its own ranks -sources,1
1730,Apple orders 5-6 million watches: WSJ,1
587,India plans to produce 5 million tonnes of green hydrogen by 2030,0
1726,Apple to unveil next iPhone Sept 10: report,1
292,Japan PM Kishida to meet India's Modi in New Delhi,0
134,Apple to allow businesses accept contactless payments through iPhone,1
834,"U.S. lawmakers introduce bill to rein in Apple, Google app stores",1
634,"Impact of Apple ad tracking changes will hinge on app developers, exec says",1
1317,"Apple revenue misses, iPhone disappoints",1
1688,"Apple warns of ""chilling effect"" as antitrust trial ends",1
966,The rise and fall of HK's Apple Daily and media magnate Jimmy Lai,1
779,"Russian watchdog tells Google, Apple to remove Navalny app - report",1
1845,Bug delays Apple's HealthKit availability on iOS 8,1
76,Fired Apple employee files complaint with U.S. labor agency,1
1404,BRIEF-Apple recruits Adobe CTO as VP technology,1
710,UPDATE 2-Apple hires ex-Google AI scientist who resigned after colleagues' firings,1
1296,Apple to start charging for iTunes Radio,1
1401,Breakingviews - Viewsroom: Apple versus Alphabet,1
748,Explainer: What do Apple's new iPhone privacy changes mean for consumers and businesses?,1
626,India's January infrastructure output grows 3.7% year on year,0
546,Flu vaccine demand takes off in India as pandemic raises awareness,0
975,Resumption of India's COVAX vaccine supply delayed by Nepal - sources,0
537,Canada extends ban on commercial and private passenger flights from India,0
961,India reports smallest rise in COVID-19 deaths since mid-March,0
629,Enel to look at entering India's power distribution market - CEO,0
518,Canada extends ban on commercial and private passenger flights from India,0
1922,REFILE--France investigates Apple contracts with telcos-report,1
659,Apple supplier Foxconn's Q3 profit beats estimates,1
1877,Apple hit with injunction in e-books antitrust case,1
569,India's Serum sees 'large' exports as output nearly quadruples,0
473,"India's COVID-19 cases rise by 333,533 in last 24 hours - govt",0
1850,Apple sows seeds for India iPhone awakening,1
1386,Apple could block apps that don't comply with new privacy feature,1
1132,"CORRECTED-UPDATE 1-Hyundai Motor, Kia say they are not in talks with Apple on autonomous car development",1
731,India likely to allow export of Sputnik Light COVID shot this month - sources,0
630,UPDATE 4-EU hits Apple with music streaming charge in boost for Spotify,1
910,"India's capital bans Christmas, New Year celebrations over Omicron fears",0
1196,"Apple fails to overturn VirnetX patent verdict, could owe over $1.1 bln",1
98,High prices could slow India's transition to gas,0
425,UPDATE 1-India to study sanctions impact on trade settlement with Russia,0
855,At least 18 people killed in lightning strikes in India,0
1210,"Apple supplier Foxconn reports Q1 profit T$28.2 bln, beats estimates",1
74,"India reports 36,571 new coronavirus cases",0
306,"India considers resuming vaccine exports soon, focus on Africa, says source",0
150,Apple to drop customer mask requirement at many U.S. stores - Bloomberg News,1
470,"UPDATE 4-Apple results hit by supply chain woes, Cook says holiday quarter impact will be worse",1
399,India likely to allow export of Sputnik Light COVID shot this month - sources,0
1137,Apple iPhone 12 mini sales slow as smaller smartphones lose appeal: report,1
207,India Insight: Narendra Modi’s sale of the century,0
1760,"Apple, U.S. states reach $113 million settlement on iPhone throttling",1
1670,Samsung expert: Apple overstates its damages at trial,1
1752,Apple in talks with musicians for exclusive streaming deals -Bloomberg,1
664,UPDATE 1-Apple plans to expand ads business - FT,1
1862,Samsung drops attempt to ban Apple sales in Europe,1
656,India says it has ample coal stocks for power sector,0
382,"India antitrust probe finds Google abused Android dominance, report shows",0
790,"US STOCKS-Nasdaq hits record high with Apple, Amazon results on deck",1
244,"India will not surprise market on borrowing, says govt official",0
519,Apple tightens legal request rules after Justice Department targets lawmakers,1
532,"Apple adds virtual IDs on iPhone, video plans that rival Zoom, Teams",1
768,EU plans to legislate for common phone charger despite Apple grumbles,1
1415,Apple supplier Wistron puts India plant damage at up to $7 mln,1
29,Apple can skip past Epic court slap,1
248,TIMELINE-Air India returns to Tatas' hangar as group wins bid,0
571,Factbox-Five things to know about Epic's epic legal fight with Apple,1
1042,Apple says Wistron due to restart violence-hit India factory,1
1202,"Apple, Goldman Sachs start issuing Apple Cards to consumers",1
806,India's parliament passes bill to repeal controversial farm laws,0
855,Apple Inc spending from 'green bonds' hits $2.8 billion,1
686,REFILE-UPDATE 2-Apple backs far-reaching emissions disclosure rules,1
1189,Musk tweets he reached out to Apple's Tim Cook for acquiring Tesla,1
174,Apple presses U.S. lawmakers on dangers of 'sideloading' apps allowed by bill,1
14,"India reports 42,766 coronavirus cases",0
1028,Apple lobbies for India incentives as it plans iPad assembly -sources,1
1272,Apple reports progress in workforce diversity,1
1069,Small biz must butt out of Apple challenge to PTO rule – judge,1
1873,Apple Music hits 38 million paid subscribers,1
438,UPDATE 4-Apple strikes App Store deal with small developers as it waits for 'Fortnite' ruling,1
738,Apple starts iPhone 12 assembly in India,1
242,Dutch regulator says Apple's App Store broke competition laws,1
900,"India's Nifty breaches 17,000 on financials boost; GDP data in focus",0
1151,Apple launches AirPods Max priced at $549,1
1944,Apple considering expansion into wearable glasses - Bloomberg,1
801,Pakistan demands joint probe into 'accidental' India missile fire,0
485,India's Feb sunoil imports fall as war disrupts shipments-dealers,0
356,"UK foreign minister to discuss security, defence ties with India",0
583,India to push for patent waiver for COVID-19 vaccines at WTO,0
253,UK says India's UN vote swayed by dependence on Russia,0
433,UPDATE 1-Apple worker says she was fired after leading movement against harassment,1
745,"Apple joins streaming elite, Netflix crosses milestone with Emmy wins",1
125,India says it accidentally fired missile into Pakistan,0
1011,"UPDATE 3-Intel, Apple, carmakers to attend White House meeting on chip shortage",1
1242,BRIEF-Apple unveils the iPad Mini,1
895,"Russia's Navalny criticises Apple, Google over app removal, social media posts say",1
489,India struggles to contain vegoil prices as Indonesia restricts exports,0
1227,UPDATE 1-Apple to unveil next Apple TV version in September - BuzzFeed,1
195,Epic ruling invites future efforts to paint Apple as monopolist -experts,1
158,"India cenbank to hold rates, guidance on liquidity crucial",0
1447,"With lineup widening, Apple depends less on iPhone X",1
1920,Apple buys Israeli technology firm Anobit,1
410,Column: India looks to Russia to solve the energy crisis Moscow created,0
791,India armed forces head among 13 dead in helicopter crash,0
337,Factbox: Top takeaways from Apple's Developers Conference,1
596,Coal India ramps up supplies to address shortage at utilities,0
47,India reports outbreak of H5N1 bird flu - OIE,0
917,India needs more big banks the size of largest lender SBI -finmin,0
452,CORRECTED-UPDATE 4-Apple becomes first U.S. company to hit $3 trillion market value,1
1423,Amazon brings macOS to cloud in a boost to Apple app developers,1
429,"UPDATE 4-Qualcomm forecasts post-Apple sales growth, shares hit all-time high",1
146,"Netflix slashes India prices in battle with Disney, Amazon",0
1077,Hong Kong's Apple Daily says only has cash for few weeks after assets frozen,1
350,Factbox: Top takeaways from Apple's Developers Conference,1
733,UPDATE 1-Epic Games files complaint against Apple with UK regulator,1
869,'Off to Canada': India's jobs crisis exasperates its youth,0
608,Coal India to ramp up supplies to address utilities' fuel shortage,0
13,Polish regulator to investigate Apple's privacy policy,1
910,"After winning $1 billion in Apple case, Caltech sues Samsung over same patents",1
391,India says U.S. willing to collaborate to achieve green energy goals,0
534,Apple tightens rules after Justice Department targeted U.S. lawmakers,1
1082,"Exclusive-HK's Apple Daily to shut within days, says Jimmy Lai adviser",1
1766,"Pointing to invalidations, Apple asks for delay in Smartflash appeal",1
1207,Apple extends concession on store fees for some apps,1
1029,"U.S. senator slams Apple, Amazon, Nike, for enabling forced labor in China",1
1475,Apple Music hits 38 million paid subscribers,1
1627,Apple seeks severe punishment for Samsung lawyer's actions,1
301,Apple's Tim Cook raises concern over LGBTQ laws in the U.S.,1
1932,"Apple infringed three Qualcomm patents, jury finds",1
272,Dutch regulator says Apple's App Store broke competition laws,1
1906,Apple to lose iPhone trademark in Brazil-source,1
1074,EXCLUSIVE-Adviser to jailed HK tycoon Jimmy Lai says Apple Daily to shut within days,1
30,Tata appoints N Chandrasekaran as Air India chairman,0
196,UPDATE 1-Apple likely to face DOJ antitrust suit- The Information,1
302,U.S. senators urge Biden to avoid India sanctions over Russian deal,0
303,"After criticism, Apple to only seek abuse images flagged in multiple nations",1
552,Google suing India antitrust watchdog for investigation report leak,0
288,Apple to require employee proof of COVID-19 booster -The Verge,1
982,"In India, Tamil Nadu eyes coal power reboot despite local fears",0
541,"UK watchdog looking into Apple, Google's dominance of mobile phone systems",1
3,Apple Watch production delayed - Nikkei,1
78,Dutch watchdog fines Apple again; company argues it has complied,1
810,Goa's beaches packed with domestic tourists as India tightens COVID rules,0
1556,Apple's quarterly report leaves iPhone uncertainty,1
1739,Apple working on games subscription service for gadgets: Bloomberg,1
23,Apple says it halted all product sales in Russia,1
818,Apple's Tim Cook joins chorus of critics against Georgia's voting restrictions,1
638,Apple made more than $100 mln in commissions from 'Fortnite' - executive at trial,1
1592,Apple antitrust compliance off to a promising start -monitor,1
264,"India's daily COVID-19 infections rise by 38,079",0
1655,Apple a day might keep the pharmacist away,1
1112,Apple set to introduce Apple Pay in Britain -Telegraph,1
1640,Apple's smartwatch beat internal expectations: CFO,1
405,UPDATE 1-Apple grabs record China market share as Q4 sales surge-research,1
829,"U.S. lawmakers introduce bill to rein in Apple, Google app stores",1
642,"India reports 27,254 new COVID-19 cases, 219 deaths",0
366,"India says Omicron may be less severe due to vaccination, prior infections",0
482,India to push for patent waiver for COVID-19 vaccines at WTO,0
916,"US STOCKS SNAPSHOT-S&P 500, Nasdaq hit record highs on Apple boost",1
362,India says doors open to Afghan's Sikh and Hindu minorities,0
1195,Apple extends concession on store fees for some apps,1
477,India's new COVID-19 cases jump to two-month high,0
676,"India, Israel to start talks on free trade agreement next month",0
603,UPDATE 9-HK's Apple Daily newsroom raided by 500 officers over national security law,1
592,Fed. Circ. affirms mixed ruling on VoIP patent in Apple-Uniloc fight,1
579,Hong Kong police arrest former Apple Daily journalist at airport -local media,1
1527,Apple launches new legal attack on Samsung phones,1
201,UK aims to start trade talks with India this year,0
75,India to waive transmission costs for green hydrogen manufacturers,0
1635,Chinese regulator calls for tighter supervision of Apple,1
1954,"In FBI vs. Apple, judge asks for technological details",1
632,Apple to help employees get COVID-19 vaccines - Bloomberg News,1
1054,"UPDATE 3-Apple supplier Wistron to restart India factory, still on probation",1
1977,Apple continues to defy gravity as stock hits $600,1
478,India to invest $1.61 bln to link more green energy projects to grid,0
173,Foxconn's dorms for India workers do not meet Apple standards - spokesperson,1
274,India and China to continue dialogue over disputed border,0
554,"India could bar transactions in crypto, permit holding as assets - paper",0
1552,Apple challenges loss of iPhone trademark in Brazil,1
1036,"U.S. senator slams Apple, Amazon, Nike, for enabling forced labor in China",1
827,India mandates use of biomass pellets in some coal-fired plants,0
1411,"Apple CEO calls for stricter corporate, government climate goals at U.N. summit",1
894,"Twitter reinstates accounts of India's Rahul Gandhi, other opposition leaders",0
965,The rise and fall of HK's Apple Daily and media magnate Jimmy Lai,1
448,India approves Sputnik Light COVID shot for unvaccinated - local manufacturer,0
604,Japan's Osaka Gas plans to enter India's city market,0
39,CORRECTED-FACTBOX-Top announcements from Apple event,1
1436,"Apple, Amazon suspend Parler social network from App Store and web hosting service",1
1398,Apple probes supplier after workers at Wistron plant in India rampage,1
25,Microsoft nearly overtakes Apple as most valuable company,1
1275,Apple starts applying new data privacy labels to apps,1
508,"Policy groups ask Apple to drop plans to inspect iMessages, scan for abuse images",1
7,Apple to host annual spring event on March 8,1
65,India stuck with COVID-19 vaccines it can't export,0
1709,S.Korea probes Samsung over Apple antitrust complaints,1
708,"UPDATE 7-Apple soars past sales, profit targets with strong iPhone demand, warns of chip shortages",1
601,"Parler returns to Apple's App Store, names new CEO",1
36,India's trade minister to meet Chinese counterpart on Tuesday,0
200,"Apple to hold event on Sept 14, new iPhones expected",1
671,"The Exchange: Ron Johnson, Apple store retail guru",1
610,India likely to allow export of Sputnik Light COVID shot this month - sources,0
752,UPDATE 2-Bill targeting Apple and Google approved by U.S. Senate panel,1
1442,Apple watches will not be available in-store in May - Telegraph,1
217,India's June industrial output grows 13.6%,0
224,India's top carmaker sees hydrogen as 'interesting alternative',0
410,UPDATE 1-Former Apple worker inspires Washington state measure seeking to curb NDAs,1
743,"Boat carrying dozens sinks in India's northeast, one dead",0
298,"India, Russia strike trade, arms deals during Putin visit",0
1019,Apple adds 'BlastDoor' security feature to fight iMessage hacks,1
704,Apple critic Tile Inc acquired by Life360 in $205 million deal,1
209,Foxconn's dorms for India workers do not meet Apple standards - spokesperson,1
697,CORRECTED-India's LIC gets market regulator nod for IPO - ET Now,0
504,Heartbreak in newsroom as Apple Daily bids farewell to Hong Kong,1
1076,Hong Kong's Apple Daily says three executives detained under security law released on bail,1
49,Coal India plans to increase prices 'slowly',0
741,"Ferrari, parent Exor clinch alliance with Apple designer Jony Ive",1
