,News,is_apple,is_amazon,is_microsoft,is_facebook,is_tesla,is_nvidia,is_cisco,is_alphabet,is_google,is_broadcom
460,"UPDATE 2-Microsoft says group behind SolarWinds hack now targeting government agencies, NGOs",0,0,1,0,0,0,0,0,0,0
3385,Proxy adviser ISS recommends vote 'against' executive pay at Alphabet,0,0,0,0,0,0,0,1,0,0
1483,EU's Vestager aims for March deal on tech rules,0,0,0,0,0,0,0,1,0,0
2064,BRIEF-Four bidders and U.S. partner Western Digital competing to buy Toshiba's memory chip unit- Nikkei,0,0,0,0,0,0,0,0,0,1
714,Amazon to divert freight as some Chinese cities go under lockdown,0,1,0,0,0,0,0,0,0,0
2831,BRIEF-Alphabet's YouTube hires former Warner Music executive Lyor Cohen as global head of music,0,0,0,0,0,0,0,1,0,0
1701,Breakingviews: Sonos win booms for small tech,0,0,0,0,0,0,0,1,0,0
66,Tesla executive Schwall joins Alphabet's Waymo,0,0,0,0,1,0,0,0,0,0
1368,Apple retail chief Angela Ahrendts to depart in April,1,0,0,0,0,0,0,0,0,0
2953,"Microsoft, Google, Cisco, VMware join legal battle against hacking company NSO",0,0,0,0,0,0,1,0,0,0
2384,UPDATE 3-China's ZTE clears hurdle to lifting U.S. ban,0,0,0,0,0,0,0,0,0,1
2237,Microsoft wins $1.76 billion defense contract: Pentagon,0,0,1,0,0,0,0,0,0,0
789,Amazon's new Polish site goes live as online competition grows,0,1,0,0,0,0,0,0,0,0
2516,Microsoft unveils touch-friendly Office apps for Windows phones,0,0,1,0,0,0,0,0,0,0
914,"REUTERS NEXT-YouTube removed hundreds of videos after U.S. election was certified, Pichai says",0,0,0,0,0,0,0,1,0,0
2406,Mexico's Televisa to partner with Amazon on content for video,0,1,0,0,0,0,0,0,0,0
2970,Apple to open manufacturing plant in Arizona,1,0,0,0,0,0,0,0,0,0
671,5th Circuit weighs Amazon's liability for third-party seller's product,0,1,0,0,0,0,0,0,0,0
2910,CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet,0,0,0,0,0,0,0,0,1,0
1401,"Chipmaker Broadcom reports lower 4th-qtr revenue, but meets expectations",0,0,0,0,0,0,0,0,0,1
1418,Heritage land dispute over Amazon's new Africa HQ goes to court,0,1,0,0,0,0,0,0,0,0
951,"US STOCKS-Wall St down sharply on weak results from Cisco, Wal-Mart",0,0,0,0,0,0,1,0,0,0
2390,Israel to end licensing agreement with Microsoft,0,0,1,0,0,0,0,0,0,0
2237,Facebook appeals UK ruling that it must sell Giphy,0,0,0,1,0,0,0,0,0,0
1632,"UPDATE 1-Tesla recalls 817,000 vehicles in U.S. over seat belt reminder alert",0,0,0,0,1,0,0,0,0,0
1986,"Facebook could be sued by consumer groups, EU court adviser says",0,0,0,1,0,0,0,0,0,0
1710,Google takes consumers' wrists to next frontier with Android watch,0,0,0,0,0,0,0,0,0,1
1930,"US STOCKS-Wall Street turns higher in seesaw session, Amazon earnings stall tech rout",0,0,0,1,0,0,0,0,0,0
79,UPDATE 1-Dutch consumer watchdog gives Apple fifth $5.7 mln fine in App Store dispute,1,0,0,0,0,0,0,0,0,0
194,Apple's war with Google heats up,1,0,0,0,0,0,0,0,0,0
256,Apple continues to defy gravity as stock hits $600,1,0,0,0,0,0,0,0,0,0
926,Google signs news content deals with Italian publishers,0,0,0,0,0,0,0,0,1,0
2214,Google's hotel moves worry travel sector,0,0,0,1,0,0,0,0,0,0
2500,Judge must decide state-law arbitrability of Amazon last-mile driver claims,0,1,0,0,0,0,0,0,0,0
2566,Chile's Codelco strikes deal with Microsoft to extend automation at its copper mines,0,0,1,0,0,0,0,0,0,0
10,Amazon-owned Twitch says source code exposed in last week's data breach,0,1,0,0,0,0,0,0,0,0
1345,Google considering investment in new subsea cable -WSJ,0,0,0,0,0,0,0,0,1,0
1620,Canada agency delays decision on Alphabet subsidiary's 'smart city' project,0,0,0,0,0,0,0,1,0,0
1082,WhatsApp wins approval to double payments offering to 40 million users in India - source,0,0,0,1,0,0,0,0,0,0
2934,Apple asks judge to pause Epic Games antitrust orders as it appeals ruling,1,0,0,0,0,0,0,0,0,0
2202,Tesla's Musk asks staff to 'go super hardcore' to ensure decent Q3 delivery numbers,0,0,0,0,1,0,0,0,0,0
1533,India's antitrust body orders Google inquiry after news publishers complain,0,0,0,0,0,0,0,0,1,0
1997,Microsoft 365 outage affects multiple services,0,0,1,0,0,0,0,0,0,0
177,UPDATE 4-Musk invites UAW union to hold vote at Tesla California factory,0,0,0,0,1,0,0,0,0,0
1793,"BRIEF-Broadcom finalizing candidates for full Qualcomm slate- CNBC,citing sources‍",0,0,0,0,0,0,0,0,0,1
19,"Microsoft CFO to leave; profit, shares rise",0,0,1,0,0,0,0,0,0,0
441,Apple challenges loss of iPhone trademark in Brazil,1,0,0,0,0,0,0,0,0,0
1329,"Factbox-Apple vs Epic case: heated arguments, dramatic calls",1,0,0,0,0,0,0,0,0,0
3270,Google Glass goes dark on its social media accounts,0,0,0,0,0,0,0,1,0,0
1216,Factbox: Top five takeaways from Apple's Mac launch event,1,0,0,0,0,0,0,0,0,0
946,Broadcom loses $19 billion in market value after bid to buy CA,0,0,0,0,0,0,0,0,0,1
311,EXCLUSIVE-Amazon extends moratorium on police use of facial recognition software,0,1,0,0,0,0,0,0,0,0
2213,"EXCLUSIVE -Amazon orders more than 1,000 natgas engines for U.S. truck fleet",0,1,0,0,0,0,0,0,0,0
2429,R.R. Donnelley investigating Google release - CNBC,0,0,0,0,0,0,0,0,1,0
2346,BRIEF-Microsoft & Trugrid Announce Remote Desktop Protocol Licensing Agreement,0,0,1,0,0,0,0,0,0,0
310,"UPDATE 4-Apple results hit by supply chain woes, Cook says holiday quarter impact will be worse",1,0,0,0,0,0,0,0,0,0
715,WRAPUP 6-Apple cements tablet market lead with new iPad,0,0,0,0,0,0,0,0,0,1
3004,Google in EU crosshairs again with advertising antitrust inquiry,0,0,0,0,0,0,0,1,0,0
1775,"Cisco, Nokia escape fiber optics patent case at Fed Circuit",0,0,0,0,0,0,1,0,0,0
226,UPDATE 3-Twitter avoids revenue hit from Apple privacy changes,1,0,0,0,0,0,0,0,0,0
895,"Google creates virtual reality arm, names key exec to run it - Re/code",0,0,0,0,0,0,0,1,0,0
1883,"Tesla unlikely to drive up volatility on S&P 500, analysts say",0,0,0,0,1,0,0,0,0,0
1463,Google to contest Russia's antitrust ruling on Android,0,0,0,0,0,0,0,0,1,0
747,US STOCKS-Dealmaking in chip sector lifts Nasdaq to record level,0,0,0,0,0,0,0,0,0,1
1027,Microsoft Surface devices fail on reliability -Consumer Reports,0,0,1,0,0,0,0,0,0,0
1825,ARM shares rise on Google deal report,0,0,0,0,0,0,0,0,1,0
1196,Breakingviews - China’s Tesla wannabes will drive closer to home,0,0,0,0,1,0,0,0,0,0
2451,RPT-Wall St Week Ahead-Investors bet on second wind for lagging U.S. small caps,0,0,0,1,0,0,0,0,0,0
2303,Judge says Google's Android lost money in 2010,0,0,0,0,0,0,0,0,1,0
3044,"Qualcomm raises profit forecast, may buy back stock if bid for NXP fails",0,0,0,0,0,0,0,0,0,1
1583,Microsoft posts record loss as it writes down Nokia,0,0,1,0,0,0,0,0,0,0
2782,BRIEF-Meta Growth Appoints New Independent Director,0,0,0,1,0,0,0,0,0,0
1608,"Six dead, no hope of more survivors after tornadoes destroy Amazon warehouse near St Louis",0,1,0,0,0,0,0,0,0,0
1841,"Apple, A123 close to settling battery hiring lawsuit",1,0,0,0,0,0,0,0,0,0
1372,US STOCKS-Wall St falls on tech drag; GS results trigger more bank declines,0,0,0,0,0,0,0,1,0,0
2579,EXCLUSIVE-India watchdog accuses Amazon of concealing facts in deal for Future Group unit,0,1,0,0,0,0,0,0,0,0
759,"Coinbase to allow users to use card via Apple, Google wallets",0,0,0,0,0,0,0,1,0,0
64,Tesla's shares extend selloff after Musk tweets,0,0,0,0,1,0,0,0,0,0
1057,UPDATE 1-Brazil high court revokes Telegram suspension after it blocks disinformation accounts,0,0,0,1,0,0,0,0,0,0
1721,"US STOCKS-Futures rise on gains in Intel, coronavirus fears linger",0,0,0,0,0,0,0,0,0,1
852,UPDATE 2-Bill targeting Apple and Google approved by U.S. Senate panel,0,0,0,1,0,0,0,0,0,0
1797,German publishers' battle with Google over content escalates,0,0,0,0,0,0,0,0,1,0
223,2012: The year Microsoft finally battles back,0,0,1,0,0,0,0,0,0,0
1138,Cisco tries to free up internet traffic jam,0,0,0,0,0,0,1,0,0,0
2473,Tesla’s move to Texas further mars ESG credentials,0,0,0,0,1,0,0,0,0,0
852,US STOCKS-Wall St turns lower after shooting at Canadian parliament,0,0,0,0,0,0,0,0,0,1
1020,"Genius Media, The Nation sue Google in advertising antitrust lawsuit",0,0,0,0,0,0,0,0,1,0
237,BRIEF-Meta Financial Group Q3 earnings per share $1.04,0,0,0,1,0,0,0,0,0,0
2391,REFILE-Broadcom plans to nominate 11 members to Qualcomm's board,0,0,0,0,0,0,0,0,0,1
382,Microsoft sues IRS for details of probe on internal transactions,0,0,1,0,0,0,0,0,0,0
2545,India's election regulator drops plan to partner Google,0,0,0,0,0,0,0,0,1,0
2729,"Microsoft's Xbox to sell music, goes mobile",0,0,1,0,0,0,0,0,0,0
311,Microsoft plans major job cuts - NYT,0,0,1,0,0,0,0,0,0,0
2513,Facebook-owner Meta sets out grounds for UK appeal on Giphy,0,0,0,1,0,0,0,0,0,0
431,"US STOCKS-Futures slip after Apple, Amazon results reignite supply, labor woes",0,1,0,0,0,0,0,0,0,0
1056,"Indian court deals blow to Amazon, Walmart's Flipkart in antitrust case",0,1,0,0,0,0,0,0,0,0
1050,BRIEF-Cisco announces agreement to acquire Broadsoft,0,0,0,0,0,0,1,0,0,0
1958,Tesla's Musk sold another $1.2 billion of stock on Nov. 12-filing,0,0,0,0,1,0,0,0,0,0
28,Hellman & Friedman takes 7.5% stake in software maker Splunk,0,0,0,0,0,0,1,0,0,0
1664,DIARY-S&P 500 EARNINGS FOR DAY AHEAD,0,0,0,0,0,0,0,0,0,1
546,"Samsung, Intel, Dell team up on standards for connected gadgets",0,0,0,0,0,0,0,0,0,1
974,UPDATE 2-London's FTSE 100 gives in to fears over U.S.-Iran tensions,0,0,0,0,0,0,0,0,0,1
1424,Ballot review enters second day in landmark Amazon union election,0,1,0,0,0,0,0,0,0,0
1974,Amazon could face claims by U.S. agency over union supporter's firing,0,1,0,0,0,0,0,0,0,0
1627,Google to spend further 1 billion euros to build Dutch data centers,0,0,0,0,0,0,0,1,0,0
1188,"Google defends Android phone maker deals, denies carrot and stick tactics",0,0,0,0,0,0,0,0,1,0
818,Amazon biome hurtles toward death spiral as deforestation jumps in 2020,0,1,0,0,0,0,0,0,0,0
2702,UPDATE 3-Google seals content payment deal with French news publishers,0,0,0,0,0,0,0,0,1,0
459,"Parler returns to Apple's App Store, names new CEO",1,0,0,0,0,0,0,0,0,0
2056,UPDATE 1-Tesla to invest $188 mln to expand Shanghai factory capacity -Beijing Daily,0,0,0,0,1,0,0,0,0,0
1650,Google CEO Pichai receives stock grant,0,0,0,0,0,0,0,0,1,0
3023,Telenor and Google Cloud partner up to digitalise telecom operations,0,0,0,0,0,0,0,1,0,0
2579,"Apple CEO apologizes for Maps flaws, recommends rivals",1,0,0,0,0,0,0,0,0,0
2618,General Motors takes a look under Tesla's hood,0,0,0,0,1,0,0,0,0,0
2285,UPDATE 3-China smartphone demand helps lift forecasts for chipmaker Qualcomm,0,0,0,1,0,0,0,0,0,0
384,Instagram CEO urges industry body on best practices for kids online,0,0,0,1,0,0,0,0,0,0
76,Microsoft unveils first Lumia smartphone without Nokia name,0,0,1,0,0,0,0,0,0,0
1283,"Google near settlement of French antitrust case, WSJ says",0,0,0,0,0,0,0,0,1,0
420,U.S. guidance crucial to development of self-driving cars,0,0,0,0,1,0,0,0,0,0
1046,Facebook-owner Meta beats quarterly revenue estimates,0,0,0,1,0,0,0,0,0,0
1218,Meta Platforms shares rise as Facebook rebrands to focus on metaverse,0,0,0,1,0,0,0,0,0,0
635,Telegram surpasses WhatsApp to become Russia's top messenger - Megafon,0,0,0,1,0,0,0,0,0,0
2041,Breakingviews - Facebook and Google flaunt dominance Down Under,0,0,0,0,0,0,0,1,0,0
2220,"Tesla up on surprise profit, reassurance on capital plans",0,0,0,0,1,0,0,0,0,0
2532,BRIEF-Meta Growth Says Filing Of Q2 Financial Statements Have Been Postponed,0,0,0,1,0,0,0,0,0,0
2039,Facebook can pursue malware lawsuit against Israel's NSO Group -US appeals court,0,0,0,0,0,0,1,0,0,0
1841,BRIEF-Moody's says Alphabet's victory in code copyright case is credit positive,0,0,0,0,0,0,0,1,0,0
1707,Google hit with 150 million euro French fine for cookie breaches,0,0,0,0,0,0,0,0,1,0
2345,Meta rolls out parental supervision tools on Instagram,0,0,0,1,0,0,0,0,0,0
1085,Chile's Codelco strikes deal with Microsoft to extend automation at its copper mines,0,0,1,0,0,0,0,0,0,0
2575,Microsoft nears deal to buy Minecraft maker Mojang -WSJ,0,0,1,0,0,0,0,0,0,0
1106,GT Advanced Tech modifies bankruptcy deal with Apple,1,0,0,0,0,0,0,0,0,0
1064,Nvidia's gaming chips drive surprise rise in revenue,0,0,0,0,0,1,0,0,0,0
1060,GRAPHIC-Musk's potential Tesla stake sale follows share surge,0,0,0,0,1,0,0,0,0,0
1399,Apple completes deal to buy Shazam,1,0,0,0,0,0,0,0,0,0
1318,BRIEF-Bluegrace United investment in Amper conditional upon closure of negotiations with Cisco,0,0,0,0,0,0,1,0,0,0
2223,"Microsoft board to review sexual harassment, discrimination policies",0,0,1,0,0,0,0,0,0,0
2042,"CORRECTED-Dutch foundation seeks consumer damages over Apple, Google app payments",1,0,0,0,0,0,0,0,0,0
338,Microsoft says wins patent trial against Google's Motorola,0,0,1,0,0,0,0,0,0,0
2830,"Tesla's Musk exercises more options, sells shares worth $1.05 billion",0,0,0,0,1,0,0,0,0,0
1694,UPDATE 2-Broadcom in advanced talks to buy Symantec -sources,0,0,0,0,0,0,0,0,0,1
1885,Israeli cybersecurity firm Illusive raises $24 million in private round,0,0,0,0,0,0,1,0,0,0
2733,UPDATE 7-Tesla told France there was no sign of technical fault in Paris crash,0,0,0,0,1,0,0,0,0,0
15,US STOCKS-Dow bounces back on cyclical boost; Nvidia leads tech stocks lower,0,0,0,0,0,1,0,0,0,0
893,U.S. satellite TV firm Dish ties up with Cisco to sell 5G to businesses,0,0,0,0,0,0,1,0,0,0
2653,"Apple looking at cars, medical devices for growth - report",1,0,0,0,0,0,0,0,0,0
675,Samsung signs up Verizon as first customer for indoor 5G gear,0,0,0,0,0,0,1,0,0,0
1162,Apple wins court ruling throwing out $308.5 million patent verdict,1,0,0,0,0,0,0,0,0,0
482,"UPDATE 3-S.Korea's parliament passes bill to curb Google, Apple commission dominance",0,0,0,0,0,0,0,0,1,0
2792,Qualcomm says Broadcom deal may lead to loss of two major customers,0,0,0,0,0,0,0,0,0,1
1469,Qualcomm warns of profit hit as Apple battle intensifies,1,0,0,0,0,0,0,0,0,0
2417,Google dominance in Australia online advertising harms businesses - regulator,0,0,0,0,0,0,0,0,1,0
176,Amazon Prime Video now available on Apple TV,0,1,0,0,0,0,0,0,0,0
1825,BRIEF-Broadcom says CEO Hock Tan's 2016 compensation was $24.7 mln vs $4 mln in 2015,0,0,0,0,0,0,0,0,0,0
2618,"US STOCKS-S&P, Nasdaq futures scale new heights on earnings boost",0,0,0,1,0,0,0,0,0,0
78,Microsoft files antitrust suit against InterDigital in patent feud,0,0,1,0,0,0,0,0,0,0
1710,"Facebook, Microsoft launch contest to detect deepfake videos",0,0,1,0,0,0,0,0,0,0
1553,"Apple's Cook apologizes for Maps flaws, recommends rivals",1,0,0,0,0,0,0,0,0,0
2348,Amazon illegally tests NYC job applicants for marijuana - lawsuit,0,1,0,0,0,0,0,0,0,0
2137,Apple expected to launch new low-cost 5G iPhone,1,0,0,0,0,0,0,0,0,0
197,UPDATE 1-Tesla tells China car cameras not activated outside North America,0,0,0,0,1,0,0,0,0,0
1812,"Microsoft to allow Epic Games, Amazon storefronts on its app store",0,0,1,0,0,0,0,0,0,0
386,"US STOCKS-Dow, S&P 500 rally with energy; Alphabet drops",0,0,0,0,0,0,0,1,0,0
1542,"UPDATE 3-Alphabet's higher spending worries investors, shares dip",0,0,0,0,0,0,0,1,0,0
89,Google switches executive's payout from stock to cash,0,0,0,0,0,0,0,0,1,0
1599,Judge says Google's Android lost money in 2010,0,0,0,0,0,0,0,0,1,0
2388,"BRIEF-Broadcom says it remains ""fully committed"" to pursue Qualcomm acquisition",0,0,0,0,0,0,0,0,0,0
1573,Amazon pressed for racial equity review after strong vote tally,0,1,0,0,0,0,0,0,0,0
1136,"World equities wobble as bond yields rise after positive U.S. jobs data, earnings",0,0,0,1,0,0,0,0,0,0
771,"UPDATE 5-Hyundai, Kia say Apple car deal now off, see $8.5 bln wiped off market value",1,0,0,0,0,0,0,0,0,0
1600,GM to test Cisco technology for sharing road safety spectrum,0,0,0,0,0,0,1,0,0,0
1934,UPDATE 2-Amazon rights row throws French soccer into fresh turmoil,0,1,0,0,0,0,0,0,0,0
